answer,question
Spin (physics),"In quantum mechanics and particle physics, spin is an intrinsic form of angular momentum carried by elementary particles, composite particles (hadrons), and atomic nuclei. Spin is one of two types of angular momentum in quantum mechanics, the other being orbital angular momentum. The orbital angular momentum operator is the quantum-mechanical counterpart to the classical notion of angular momentum: it arises when a particle executes a rotating or twisting trajectory (such as when an electron orbits a nucleus). The existence of spin angular momentum is inferred from experiments, such as the Stern–Gerlach experiment, in which particles are observed to possess angular momentum that cannot be accounted for by orbital angular momentum alone. In some ways, spin is like a vector quantity; it has a definite magnitude, and it has a ""direction"" (but quantization makes this ""direction"" different from the direction of an ordinary vector). All elementary particles of a given kind have the same magnitude of spin angular momentum, which is indicated by assigning the particle a spin quantum number."
Magnetic field,"A magnetic field is the magnetic effect of electric currents and magnetic materials. The magnetic field at any given point is specified by both a direction and a magnitude (or strength); as such it is a vector field. The term is used for two distinct but closely related fields denoted by the symbols B and H, where H is measured in units of amperes per meter (symbol: A·m−1 or A/m) in the SI. B is measured in teslas (symbol:T) and newtons per meter per ampere (symbol: N·m−1·A−1 or N/(m·A)) in the SI. B is most commonly defined in terms of the Lorentz force it exerts on moving electric charges. Magnetic fields can be produced by moving electric charges and the intrinsic magnetic moments of elementary particles associated with a fundamental quantum property, their spin. In special relativity, electric and magnetic fields are two interrelated aspects of a single object, called the electromagnetic tensor; the split of this tensor into electric and magnetic fields depends on the relative velocity of the observer and charge. In quantum physics, the electromagnetic field is quantized and electromagnetic interactions result from the exchange of photons. In everyday life, magnetic fields are most often encountered as a force created by permanent magnets, which pull on ferromagnetic materials such as iron, cobalt, or nickel, and attract or repel other magnets. Magnetic fields are widely used throughout modern technology, particularly in electrical engineering and electromechanics. The Earth produces its own magnetic field, which is important in navigation, and it shields the Earth's atmosphere from solar wind. Rotating magnetic fields are used in both electric motors and generators. Magnetic forces give information about the charge carriers in a material through the Hall effect. The interaction of magnetic fields in electric devices such as transformers is studied in the discipline of magnetic circuits."
Duino Elegies,"The Duino Elegies (German: Duineser Elegien) are a collection of ten elegies written by the Bohemian-Austrian poet Rainer Maria Rilke (1875–1926). Rilke, who is ""widely recognized as one of the most lyrically intense German-language poets,"" began writing the elegies in 1912 while a guest of Princess Marie von Thurn und Taxis (1855–1934) at Duino Castle, near Trieste on the Adriatic Sea. The poems, 859 lines long in total, were dedicated to the Princess upon their publication in 1923. During this ten-year period, the elegies languished incomplete for long stretches of time as Rilke suffered frequently from severe depression—some of which was caused by the events of World War I and being conscripted into military service. Aside from brief episodes of writing in 1913 and 1915, Rilke did not return to the work until a few years after the war ended. With a sudden, renewed inspiration—writing in a frantic pace he described as a ""boundless storm, a hurricane of the spirit""—he completed the collection in February 1922 while staying at Château de Muzot in Veyras, in Switzerland's Rhone Valley. After their publication in 1923 and Rilke's death in 1926, the Duino Elegies were quickly recognized by critics and scholars as his most important work. The Duino Elegies are intensely religious, mystical poems that weigh beauty and existential suffering. The poems employ a rich symbolism of angels and salvation but not in keeping with typical Christian interpretations. Rilke begins the first elegy in an invocation of philosophical despair, asking: ""Who, if I cried out, would hear me among the hierarchies of angels?"" (Wer, wenn ich schriee, hörte mich denn aus der Engel Ordnungen?) and later declares that ""every angel is terrifying"" (Jeder Engel ist schrecklich). While labelling of these poems as ""elegies"" would typically imply melancholy and lamentation, many passages are marked by their positive energy and ""unrestrained enthusiasm."" Together, the Duino Elegies are described as a metamorphosis of Rilke's ""ontological torment"" and an ""impassioned monologue about coming to terms with human existence"" discussing themes of ""the limitations and insufficiency of the human condition and fractured human consciousness ... man's loneliness, the perfection of the angels, life and death, love and lovers, and the task of the poet."" Rilke's poetry, and the Duino Elegies in particular, influenced many of the poets and writers of the twentieth century. In popular culture, his work is frequently quoted on the subject of love or of angels and referenced in television programs, motion pictures, music and other artistic works, in New Age philosophy and theology, and in self-help books."
Virtual Army Experience,"The Virtual Army Experience (VAE) is a mobile US Army simulator created by the Army development team with the digital development handled by Zombie Studios. The interactive exhibit brings the army’s popular computer game, America’s Army: Special Forces (Overmatch), to a life-size, networked environment to provide visitors with an experience of soldiering. Using computers, LAN based scenarios, motion simulators, and videos, the VAE is a display of technological invention. The VAE was greeted with enthusiasm by the public for its design, use of measurement technology, and its ability to engage visitors through an entertaining and educational experience. The dual use of the virtual environment with tracking technology is a combination that commercial marketers could learn from, say experts, especially those marketers who target young adults. The VAE is managed by the Army’s Office of Economic and Manpower Analysis (OEMA) at the United States Military Academy, West Point. OEMA director Colonel Casey Wardynski is the originator of the Army Game Project. The army spent about $9 million building four versions of the Virtual Army Experience, Col. Wardynski said. Col. Wardynski envisioned ""using computer game technology to provide the public a virtual soldier experience that was engaging, informative and entertaining."""
Caffeine,"Caffeine is a central nervous system (CNS) stimulant of the methylxanthine class. It is the world's most widely consumed psychoactive drug, but — unlike many other psychoactive substances — it is legal and unregulated in nearly all parts of the world. There are several known mechanisms of action to explain the effects of caffeine. The most prominent is that it reversibly blocks the action of adenosine on its receptor and consequently prevents the onset of drowsiness induced by adenosine. Caffeine also stimulates certain portions of the autonomic nervous system. Caffeine is a bitter, white crystalline purine, a methylxanthine alkaloid, and is closely related chemically to the adenine and guanine contained in deoxyribonucleic acid (DNA) and ribonucleic acid (RNA). It is found in the seeds, nuts, or leaves of a number of plants native to South America and East Asia and confers on them several survival and reproductive benefits. The most well known source of caffeine is the coffee bean, a misnomer for the seed of Coffea plants. Beverages containing caffeine are ingested to relieve or prevent drowsiness and to improve performance. To make these beverages, caffeine is extracted by steeping the plant product in water, a process called infusion. Caffeine-containing beverages, such as coffee, tea, and colas, are very popular; in 2005, 90% of North American adults consumed caffeine daily. Caffeine can have both positive and negative health effects. It can be used to treat bronchopulmonary dysplasia of prematurity, and to prevent apnea of prematurity: caffeine citrate was placed on the WHO Model List of Essential Medicines in 2007. It may confer a modest protective effect against some diseases, including Parkinson's disease and certain types of cancer. One meta-analysis concluded that cardiovascular disease such as coronary artery disease and stroke is less likely with 3–5 cups of non-decaffeinated coffee per day but more likely with over 5 cups per day. Some people experience insomnia or sleep disruption if they consume caffeine, especially during the evening hours, but others show little disturbance. Evidence of a risk during pregnancy is equivocal; some authorities recommend that pregnant women limit consumption to the equivalent of two cups of coffee per day or less. Caffeine can produce a mild form of drug dependence – associated with withdrawal symptoms such as sleepiness, headache, and irritability – when an individual stops using caffeine after repeated daily intake. Tolerance to the autonomic effects of increased blood pressure and heart rate, and increased urine output, develops with chronic use (i.e., these symptoms become less pronounced or do not occur following consistent use)."
Europa (moon),"Europa /jʊˈroʊpə/ (Jupiter II), is the sixth-closest moon of Jupiter, and the smallest of its four Galilean satellites, but still the sixth-largest moon in the Solar System. Europa was discovered in 1610 by Galileo Galilei and was named after Europa, mother of king Minos of Crete, who became one of Zeus' lovers. Progressively better observations of Europa have occurred over the centuries by Earth-bound telescopes, and by space probe flybys starting in the 1970s. Slightly smaller than the Moon, Europa is primarily made of silicate rock and has a water-ice crust and probably an iron–nickel core. It has a tenuous atmosphere composed primarily of oxygen. Its surface is striated by cracks and streaks, whereas craters are relatively rare. It has the smoothest surface of any known solid object in the Solar System. The apparent youth and smoothness of the surface have led to the hypothesis that a water ocean exists beneath it, which could conceivably serve as an abode for extraterrestrial life. This hypothesis proposes that heat from tidal flexing causes the ocean to remain liquid and drives geological activity similar to plate tectonics. On 8 September 2014, NASA reported finding evidence supporting earlier suggestions of plate tectonics in Europa's thick ice shell—the first sign of such geological activity on a world other than Earth. On 12 May 2015, scientists announced that sea salt from a subsurface ocean may be coating some geological features on Europa, suggesting that the ocean is interacting with the seafloor. This may be important in determining if Europa could be habitable for life. In December 2013, NASA reported the detection of ""clay-like minerals"" (specifically, phyllosilicates) on the icy crust of Europa. In addition, the Hubble Space Telescope detected water vapor plumes similar to those observed on Saturn's moon Enceladus, which are thought to be caused by erupting cryogeysers."
Hall effect,"The Hall effect is the production of a voltage difference (the Hall voltage) across an electrical conductor, transverse to an electric current in the conductor and a magnetic field perpendicular to the current. It was discovered by Edwin Hall in 1879. The Hall coefficient is defined as the ratio of the induced electric field to the product of the current density and the applied magnetic field. It is a characteristic of the material from which the conductor is made, since its value depends on the type, number, and properties of the charge carriers that constitute the current. "
Lead,"Lead (/lɛd/) is a chemical element in the carbon group with symbol Pb (from Latin: plumbum) and atomic number 82. Lead is a soft, malleable and heavy post-transition metal. Metallic lead has a bluish-white color after being freshly cut, but it soon tarnishes to a dull grayish color when exposed to air. Lead has a shiny chrome-silver luster when it is melted into a liquid. It is also the heaviest (has the highest atomic number) non-radioactive element (two radioactive elements, namely technetium and promethium, are lighter). Lead is used in building construction, lead-acid batteries, bullets and shot, weights, as part of solders, pewters, fusible alloys, and as a radiation shield. Lead has the highest atomic number of all of the stable elements, although the next higher element, bismuth, has one isotope with a half-life that is so long (over one billion times the estimated age of the universe) that it can be considered stable. Lead's four stable isotopes have 82 protons, a magic number in the nuclear shell model of atomic nuclei. The isotope lead-208 also has 126 neutrons, another magic number, and is hence double magic, a property that grants it enhanced stability: lead-208 is the heaviest known stable isotope. If ingested, lead is poisonous to animals and humans, damaging the nervous system and causing brain disorders. Excessive lead also causes blood disorders in mammals. Lead is a neurotoxin that accumulates both in soft tissues and the bones. Lead poisoning has been documented since ancient Rome, ancient Greece, and ancient China."
5 (number),"5 (five /ˈfaɪv/) is a number, numeral, and glyph. It is the natural number following 4 and preceding 6.  "
Lev Landau,"Lev Davidovich Landau (Russian: Ле́в Дави́дович Ланда́у; IPA: [lʲɛv dɐˈvidəvʲitɕ lɐnˈdaʊ]; January 22 [O.S. January 9] 1908 – April 1, 1968) was a prominent Soviet physicist who made fundamental contributions to many areas of theoretical physics. His accomplishments include the independent co-discovery of the density matrix method in quantum mechanics (alongside John von Neumann), the quantum mechanical theory of diamagnetism, the theory of superfluidity, the theory of second-order phase transitions, the Ginzburg–Landau theory of superconductivity, the theory of Fermi liquid, the explanation of Landau damping in plasma physics, the Landau pole in quantum electrodynamics, the two-component theory of neutrinos, and Landau's equations for S matrix singularities. He received the 1962 Nobel Prize in Physics for his development of a mathematical theory of superfluidity that accounts for the properties of liquid helium II at a temperature below 7000217000000000000♠2.17 K (7000216999999999995♠−270.98 °C).  "
